pads,chi-square
128,1139.704102
64,1126.933105
32,1046.149414
4,849.698242
16,837.298828
8,688.930664
2,627.660156
192,609.739258
12,474.086914
96,422.820312
20,421.983398
6,411.496094
160,403.833496
48,399.852051
224,379.772949
112,376.322266
28,368.807129
24,360.771973
68,339.550781
108,338.820312
56,337.616699
52,337.411621
116,331.831055
10,329.252441
22,327.181641
88,326.048340
40,324.478516
76,323.796875
14,322.479004
100,321.731445
220,316.531738
38,313.493164
36,310.262207
60,310.046875
80,305.177246
136,302.977051
170,302.807129
107,302.565430
156,300.428223
240,298.960449
212,298.208984
98,297.483887
120,297.116699
203,296.458984
144,296.325195
139,294.829590
67,294.629395
184,293.958008
231,292.720703
248,292.141602
148,291.942871
59,291.435547
18,290.462402
44,290.222168
146,290.053223
69,288.871582
208,288.626465
63,288.364258
228,288.308105
245,287.623535
114,287.588867
188,286.814941
211,285.974121
19,285.687012
106,283.916016
181,283.903320
129,283.140137
218,282.944824
142,282.336426
194,281.072266
171,279.504395
109,278.957031
140,278.361816
45,278.331055
223,278.125000
176,277.757812
189,277.631836
209,277.617188
86,277.569824
105,277.518066
236,277.064453
197,276.725098
132,276.691895
159,276.633301
78,276.360840
150,276.354492
3,276.089844
221,275.895020
29,275.437012
134,275.390625
168,274.658203
238,274.601074
200,274.576660
61,274.434570
169,274.377441
252,274.231934
84,273.906250
92,272.784668
42,272.667480
110,272.455078
185,272.088867
102,271.916992
172,271.819824
72,271.440430
30,271.395996
9,271.306152
119,270.720703
141,269.622559
49,269.333984
77,268.902344
126,268.383789
145,268.058594
91,268.027832
225,267.760254
117,267.327148
226,267.312500
130,266.957520
164,266.682129
249,266.564453
57,266.471191
180,266.419922
158,266.298340
58,265.942383
251,265.843262
33,265.581055
237,265.505371
152,264.949219
206,264.830566
227,264.711914
26,264.680176
101,264.369141
234,263.193359
90,262.579102
246,262.444336
165,262.167480
149,261.849121
196,261.663086
175,261.611328
247,261.591797
25,261.472168
53,261.360840
190,260.043457
207,259.962891
115,259.798340
37,259.490234
85,259.044434
166,258.750977
50,258.363770
133,258.338379
70,258.043945
15,258.030273
199,257.996094
79,257.078125
55,256.749023
244,256.731445
155,256.730957
138,256.688477
35,256.286133
13,256.015625
75,255.975586
147,255.763672
73,255.420410
125,255.177246
34,255.113770
230,255.091309
46,255.072754
216,254.891113
254,254.735352
157,254.580566
167,253.995117
122,253.789551
178,253.648438
51,253.419434
17,253.039551
239,252.735352
111,252.732910
27,252.305664
87,252.300781
202,252.097168
242,251.661133
214,251.535156
179,251.479004
243,250.222168
82,249.625488
253,247.995605
54,247.928711
94,247.649414
7,247.520020
195,247.272949
11,246.938477
83,246.758789
131,246.472656
232,246.421387
204,245.514648
81,244.936523
153,244.398926
182,244.283203
161,243.801270
143,243.554199
241,243.447754
71,243.367676
47,243.127441
21,243.035645
104,242.554199
222,242.504883
187,242.406250
65,242.392578
93,242.285156
1,242.260254
43,242.259766
121,241.869141
123,241.433105
95,241.319824
233,239.330078
210,238.308105
124,238.274414
66,236.695801
99,236.514160
31,236.332520
174,236.175293
162,235.447266
127,235.104980
41,234.413574
215,232.503906
213,232.375488
154,230.677246
193,230.398438
151,230.144531
118,229.371094
89,229.112793
97,227.988770
163,227.482422
217,227.400879
255,226.585449
219,226.209473
39,226.171387
229,225.211426
62,224.321777
137,224.211914
198,223.653809
191,223.510742
186,222.462891
135,221.946777
205,221.595703
201,219.425293
173,218.466309
113,218.379395
183,217.103516
250,215.681641
74,213.806152
103,213.789062
177,213.696777
23,213.537598
5,205.068359
235,201.356934
